param,open-search,class,description,type,astraea_eod_mapping,astraea_eod_query,aws_eos_mapping,aws_eos_query,creodias_mapping,creodias_query,earth_search_cog_mapping,earth_search_cog_query,earth_search_mapping,earth_search_query,mundi_mapping,mundi_query,onda_mapping,onda_query,peps_mapping,peps_query,scihub_mapping,scihub_query,sobloo_mapping,sobloo_query,theia_mapping,theia_query,usgs_mapping,usgs_query,usgs_satapi_aws_mapping,usgs_satapi_aws_query,wekeo_mapping,wekeo_query
parentIdentifier,yes,,,,,,,,$.properties.parentIdentifier,parentIdentifier,,,,,eo:parentIdentifier/text(),,,,$.properties.parentIdentifier,parentIdentifier,,,,,$.properties.parentIdentifier,,,,,,,
platform,yes,OpenSearch Parameters for Collection Search,A string with the platform short name (e.g. Sentinel-1),String,$.properties.constellation,,,,$.properties.collection,,$.properties.constellation,,$.properties.constellation,,eo:platform/text(),,$.platformName,platform,$.properties.collection,,,,$.data.acquisition.mission,,$.properties.platform,platform,,,$.properties.constellation,,,
platformSerialIdentifier,yes,OpenSearch Parameters for Collection Search,A string with the Platform serial identifier,String,$.properties.platform,,,,$.properties.platform,platform,"$.id.`split(_, 0, -1)`",,$.properties.platform,,eo:platformSerialIdentifier/text(),,$.platformSerialIdentifier,,$.properties.platform,platform,,,$.data.acquisition.missionCode,,$.properties.platform,platform={platformSerialIdentifier},,,$.properties.platform,,,
polarizationChannels,,,,,"$.properties.""sar:polarizations""",,,,$.properties.polarisation,,"$.properties.""sar:polarizations""",,"$.properties.""sar:polarizations""",,"{eo:polarisationChannels/text()#replace_str(""/"","" "")}",,"{$.polarisationChannels#replace_str("","","" "")}",,,,,,$.data.acquisition.polarization,,$.properties.polarisationChannels,,,,"$.properties.""sar:polarizations""",,,
polarizationMode,,,,,,,,,,,"$.id.`sub(/.{14}([A-Z]{2}).*/, \\1)`",,,,eo:polarizationMode/text(),,,,$.properties.polarisation,polarisation,,,,,$.properties.polarizationMode,,,,,,,
processingBaseline,,,,,,,,,$.properties.processingBaseline,processingBaseline,,,,,,,,,,,,,,,,,,,,,,
processingCenter,yes,,,,,,,,,,,,,,eo:processingCenter/text(),,,,$.properties.processingCenter,,,,,,,,,,,,,
processingDate,yes,,,,,,,,,,,,,,eo:processingDate/text(),,$.processingDate,,,,,,,,$.properties.processingDate,,,,,,,
processingLevel,yes,OpenSearch Parameters for Collection Search,A string identifying the processing level applied to the entry,String,,,,,$.properties.processingLevel,processingLevel,,,,,eo:processingLevel/text(),processingLevel,$.processingLevel,,$.properties.processingLevel,processingLevel,,,$.data.production.levelCode,,$.properties.processingLevel,processingLevel,,,,,,
processingMode,yes,,,,,,,,,,,,,,eo:processingMode/text(),,,,,,,,,,$.properties.processingMode,,,,,,,
processorName,yes,,,,,,,,,,,,,,eo:processorName/text(),,,,$.properties.processingName,,,,,,,,,,,,,
productQualityDegradationTag,yes,,,,,,,,,,,,,,eo:productQualityDegradationTag/text(),,,,,,,,,,,,,,,,,
productQualityStatus,yes,,,,,,,,,,,,,,eo:productQualityStatus/text(),,$.generalQualityFlag,,$.properties.onlineQualityCheck,,,,,,,,,,,,,
productType,yes,OpenSearch Parameters for Collection Search,"A string identifying the entry type (e.g. ER02_SAR_IM__0P, MER_RR__1P, SM_SLC__1S, GES_DISC_AIRH3STD_V005)",String ,$.collection,collections={productType},,,$.properties.productType,productType,$.collection,"collections=[""{productType}""]",$.collection,"collections=[""{productType}""]",eo:productType/text(),productType,$.productType,productType,$.properties.productType,productType,,,$.data.identification.type,f=identification.type:eq:{productType},$.properties.productType,productType,,,$.collection,,dct:alternative/text(),
productVersion,yes,,,,,,,,,,,,,,DIAS:processingBaseline/text(),,$.processingBaseline,,$.properties.version,,,,,,$.properties.version,,,,,,,
publicationDate,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,The date when the resource was issued,Date time,,,,,$.properties.published,,,,,,ns:published/text(),,,,$.properties.published,,,,{$.data.timestamp#to_iso_utc_datetime_from_milliseconds},,$.properties.published,,,,,,,
publishedAfter,,,,,,,,,$.properties.publishedAfter,publishedAfter,,,,,,,,,,,,,,,,,,,,,,
publishedBefore,,,,,,,,,$.properties.publishedBefore,publishedBefore,,,,,,,,,,,,,,,,,,,,,,
quicklook,,,,,$.assets.quicklook.href,,,,{thumbnail},,$.assets.quicklook.href,,$.assets.quicklook.href,,"media:group/media:content[media:category=""QUICKLOOK""]/@url",,$.quicklook,,$.properties.quicklook,,,,https://sobloo.eu/api/v1/services/quicklook/{uid},,$.properties.quicklook,,,,$.assets.quicklook.href,,https://www.wekeo.eu/sites/default/files/quicklooks/{productType}.jpg,
relativeOrbitNumber,,,,,,,,,$.properties.relativeOrbitNumber,relativeOrbitNumber,,,,,,,,,,,,,,,,,,,,,,
resolution,yes,,,,"$.properties.""eo:gsd""",,,,$.properties.resolution,resolution,"$.properties.""eo:gsd""",,"$.properties.""eo:gsd""",,eo:resolution/text(),,,,$.properties.resolution,resolution,,,,,$.properties.resolution,,,,"$.properties.""eo:gsd""",,,
sensorMode,yes,,,,"$.properties.""sar:instrument_mode""",,,,$.properties.sensorMode,sensorMode,"$.properties.""sar:instrument_mode""",,"$.properties.""sar:instrument_mode""",,eo:sensorMode/text(),,$.sensorOperationalMode,,$.properties.sensorMode,sensorMode,,,$.data.acquisition.sensorMode,,$.properties.sensorMode,,,,"$.properties.""sar:instrument_mode""",,,
sensorType,yes,OpenSearch Parameters for Collection Search,"A string identifying the sensor type. Suggested values are: OPTICAL, RADAR, ALTIMETRIC, ATMOSPHERIC, LIMB",String,,,,,,,,,,,eo:sensorType/text(),,,,,,,,,,,,,,,,,
snowCover,yes,,,,,,,,$.properties.snowCover,snowCover,,,,,eo:snowCover/text(),,,,$.properties.snowCover,"snowCover=[0,{snowCover}]",,,,,$.properties.snowCover,,,,,,,
sortOrder,,,,,,,,,$.properties.sortOrder,sortOrder,,,,,,,,,,,,,,,,,,,,,,
sortParam,,,,,,,,,$.properties.sortParam,sortParam,,,,,,,,,,,,,,,,,,,,,,
specification,,,,,,,,,,,,,,,eo:specification/text(),,,,,,,,,,,,,,,,,
spectralRange,yes,OpenSearch Parameters for Collection Search,"A string identifying the sensor spectral range (e.g. INFRARED, NEAR-INFRARED, UV, VISIBLE)",String,,,,,,,,,,,eo:spectralRange/text(),,,,,,,,,,,,,,,,,
startTimeFromAscendingNode,yes,,,,$.properties.datetime,,,,$.properties.startDate,startDate,$.properties.datetime,,$.properties.datetime,,DIAS:sensingStartDate/text(),timeStart={startTimeFromAscendingNode#to_iso_utc_datetime},$.beginPosition,,$.properties.startDate,startDate,,,{$.data.acquisition.beginViewingDate#to_iso_utc_datetime_from_milliseconds},f=acquisition.beginViewingDate:gte:{startTimeFromAscendingNode#datetime_to_timestamp_milliseconds},$.properties.startDate,startDate={startTimeFromAscendingNode#to_iso_date},,,$.properties.datetime,,,
status,,,,,,,,,$.properties.status,status,,,,,,,,,,,,,,,,,,,,,,
storageStatus,,,,,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,{$.properties.status#get_group_name((?P<ONLINE>(0|34|37))|(?P<STAGING>32)|(?P<OFFLINE>31))},,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,DIAS:onlineStatus/text(),,{$.offline#get_group_name((?P<ONLINE>False)|(?P<OFFLINE>True))},,{$.properties.storage.mode#get_group_name((?P<ONLINE>disk)|(?P<STAGING>staging)|(?P<OFFLINE>tape))},,,,{$.data.state.services.download#get_group_name((?P<ONLINE>internal)|(?P<OFFLINE>external))},,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,,,"{$.null#replace_str(""Not Available"",""ONLINE"")}",,,
swathIdentifier,yes,,,,,,,,,,,,,,eo:swathIdentifier/text(),,,,$.properties.swath,swath,,,,,,,,,,,,
thumbnail,,,,,$.assets.thumbnail.href,,,,$.properties.thumbnail,,$.assets.thumbnail.href,,$.assets.thumbnail.href,,"media:group/media:content[media:category=""THUMBNAIL""]/@url",,,,$.properties.thumbnail,,,,,,$.properties.thumbnail,,,,$.assets.thumbnail.href,,,
timeliness,,,,,,,,,$.properties.timeliness,timeliness,,,,,,,,,,,,,,,,,,,,,,
title,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,A name given to the resource,String ,$.id,,,,$.properties.title,,$.id,,$.id,,ns:title/text(),,$.filename,,$.properties.title,,,,$.data.identification.externalId,,$.properties.title,,,,$.id,,dc:title/text(),
topicCategory,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,Main theme(s) of the dataset,String ,,,,,,,,,,,ns:category/text(),,,,$.properties.topicCategory,,,,,,,,,,,,,
track,yes,,,,,,,,,,,,,,eo:track/text(),,,,,,,,,,,,,,,,,
uid,,,,,,,,,$.id,,,,,,ns:id/text(),,$.id,,$.id,,,,$.data.uid,,$.id,,,,,,,
urbanCover,,,,,,,,,$.properties.urbanCover,urbanCover,,,,,,,,,,,,,,,,,,,,,,
useLimitation,yes,Additional INSPIRE obligated OpenSearch Parameters for Collection Search,A string identifying informing if the resource has usage limitations,String,,,,,,,,,,,eo:useLimitation/text(),,,,,,,,,,,,,,,,,
waterCover,,,,,,,,,$.properties.waterCover,waterCover,,,,,,,,,,,,,,,,,,,,,,
wavelengths,yes,,,,,,,,,,,,,,eo:wavelengths/text(),,,,,,,,,,,,,,,,,
