collection,constellation,processing:level,aws_eos,cop_ads,cop_cds,cop_dataspace,cop_ewds,cop_marine,creodias,creodias_s3,dedl,dedt_lumi,dedt_mn5,earth_search,earth_search_gcs,ecmwf,eumetsat_ds,fedeo_ceda,geodes,geodes_s3,hydroweb_next,meteoblue,peps,planetary_computer,sara,usgs,usgs_satapi_aws,wekeo_cmems,wekeo_ecmwf,wekeo_main
ERA5_LAND_MONTHLY,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
ERA5_PL,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
ERA5_PL_MONTHLY,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
ERA5_SL,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
ERA5_SL_MONTHLY,ERA5,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
EUSTAT_AVAILABLE_BEDS_HOSPITALS_NUTS2,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_BATHING_SITES_WATER_QUALITY,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_GREENHOUSE_GAS_EMISSION_AGRICULTURE,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_POP_AGE_GROUP_SEX_NUTS3,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_POP_AGE_SEX_NUTS2,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_POP_CHANGE_DEMO_BALANCE_CRUDE_RATES_NUTS3,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_POP_DENSITY_NUTS3,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_SHARE_ENERGY_FROM_RENEWABLE,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_SOIL_SEALING_INDEX,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
EUSTAT_SURFACE_TERRESTRIAL_PROTECTED_AREAS,Eurostat,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
FIRE_HISTORICAL,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,available,
FIRE_SEASONAL,CEMS,,,,,,available,,,,,,,,,,,,,,,,,,,,,,,
GLACIERS_DIST_RANDOLPH,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
GLOFAS_FORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
GLOFAS_HISTORICAL,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
GLOFAS_REFORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
GLOFAS_SEASONAL,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
GLOFAS_SEASONAL_REFORECAST,CEMS,,,,,,available,,,,available,,,,,,,,,,,,,,,,,,,
GRIDDED_GLACIERS_MASS_CHANGE,,,,,available,,,,,,available,,,,,,,,,,,,,,,,,,available,
GSW_CHANGE,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
GSW_EXTENT,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
GSW_OCCURRENCE,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
GSW_RECURRENCE,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
GSW_SEASONALITY,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
GSW_TRANSITIONS,GSW,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
HIRS_FDR_1_MULTI,"Metop,TIROS,NOAA",L1C,,,,,,,,,,,,,,,available,,,,,,,,,,,,,
ISIMIP_CLIMATE_FORCING_ISIMIP3B,ISIMIP,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
ISIMIP_SOCIO_ECONOMIC_FORCING_ISIMIP3B,ISIMIP,,,,,,,,,,available,,,,,,,,,,,,,,,,,,,
L8_OLI_TIRS_C1L1,LANDSAT8,L1,available,,,,,,,,,,,,available,,,,,,,,,,,,,,,
LANDSAT_C2L1,LANDSAT,L1,,,,,,,,,available,,,,,,,,,,,,,available,,available,available,,,
